ClockLab,,,,
1873L,,,,
16-Nov-20,6:00,,,
Day,Hr,Min,Cnts/min,Lights
3,0,30,44.6,0
3,0,35,29.2,0
3,0,40,29,0
3,0,45,26.4,0
3,0,50,38,0
3,0,55,39,0
3,1,0,35.4,0
3,1,5,31.8,0
3,1,10,29,0
3,1,15,36.6,0
3,1,20,17.2,0
3,1,25,13.2,0
3,1,30,19.8,0
3,1,35,14.8,0
3,1,40,0,0
3,1,45,0,0
3,1,50,0,0
3,1,55,0,0
3,2,0,0,0
3,2,5,0,0
3,2,10,0,0
3,2,15,0,0
3,2,20,0,0
3,2,25,0,0
3,2,30,0,0
3,2,35,0,0
3,2,40,0,0
3,2,45,0,0
3,2,50,0,0
3,2,55,0,0
3,3,0,0,0
3,3,5,0,0
3,3,10,0,0
3,3,15,0,0
3,3,20,0.6,0
3,3,25,4.2,0
3,3,30,0,0
3,3,35,38.2,0
3,3,40,24,0
3,3,45,27.8,0
3,3,50,12.8,0
3,3,55,14.8,0
3,4,0,23.6,0
3,4,5,26.2,0
3,4,10,10,0
3,4,15,0,0
3,4,20,0,0
3,4,25,0,0
3,4,30,0,0
3,4,35,0,0
3,4,40,0,0
3,4,45,0,0
3,4,50,0,0
3,4,55,0,0
3,5,0,0,0
3,5,5,0,0
3,5,10,0,0
3,5,15,0,0
3,5,20,0,0
3,5,25,0,0
3,5,30,0,0
3,5,35,22.2,0
3,5,40,27.8,0
3,5,45,11,0
3,5,50,28,0
3,5,55,4.2,0
3,6,0,0,0
3,6,5,0,0
3,6,10,6,0
3,6,15,25.8,0
3,6,20,26.2,0
3,6,25,13.4,0
3,6,30,0,0
3,6,35,0,0
3,6,40,0,0
3,6,45,0,0
3,6,50,0,0
3,6,55,0,0
3,7,0,0,18.6
3,7,5,0,20
3,7,10,0,12.2
3,7,15,0,10
3,7,20,0,18
3,7,25,0,12.2
3,7,30,0,10.2
3,7,35,0,7.6
3,7,40,0,8.8
3,7,45,0,9
3,7,50,0,7.4
3,7,55,0,9.6
3,8,0,0,13.4
3,8,5,0,8.8
3,8,10,0,10
3,8,15,0,61.6
3,8,20,0,9.6
3,8,25,26.6,55.6
3,8,30,1.6,56.4
3,8,35,9.4,12.8
3,8,40,22.4,106.4
3,8,45,2.8,5.6
3,8,50,8.6,54.4
3,8,55,8.8,6.2
3,9,0,0,57
3,9,5,0,105.4
3,9,10,0,54.4
3,9,15,0,12.8
3,9,20,0,153.2
3,9,25,0,11
3,9,30,0,103.6
3,9,35,2.2,10.2
3,9,40,0,11
3,9,45,0,106.2
3,9,50,0,151.6
3,9,55,0,59
3,10,0,0,60.4
3,10,5,0,7.4
3,10,10,0,60
3,10,15,0,58.8
3,10,20,0,56.4
3,10,25,0,107.6
3,10,30,0,9.4
3,10,35,5.6,156.4
3,10,40,15,60.4
3,10,45,17.4,54.2
3,10,50,0,57
3,10,55,11.4,59.8
3,11,0,4.6,59.4
3,11,5,0,55.6
3,11,10,0,55.2
3,11,15,0,4.2
3,11,20,0,105
3,11,25,0,59.8
3,11,30,0,56.2
3,11,35,0,55
3,11,40,0,104.2
3,11,45,0,54.6
3,11,50,0,150.2
3,11,55,0,55.6
3,12,0,0,153.8
3,12,5,0,103.4
3,12,10,0,107.8
3,12,15,0,151.8
3,12,20,0,102.4
3,12,25,2.2,58.8
3,12,30,7,104.2
3,12,35,4.2,201.4
3,12,40,9.4,155.2
3,12,45,3.8,13.6
3,12,50,3.4,61.6
3,12,55,0,201.6
3,13,0,0,249.8
3,13,5,0,56.4
3,13,10,0,108
3,13,15,0,56
3,13,20,0,55.6
3,13,25,0,53.6
3,13,30,0,151.6
3,13,35,0,106
3,13,40,5,150.2
3,13,45,13.8,201.8
3,13,50,0,106.4
3,13,55,13.4,248.2
3,14,0,3,104.8
3,14,5,0,150.2
3,14,10,0,104.4
3,14,15,0,102.8
3,14,20,0,152.8
3,14,25,0,153.4
3,14,30,0,56
3,14,35,0,106.6
3,14,40,0,57.6
3,14,45,0,199.8
3,14,50,0,103.4
3,14,55,0,105.8
3,15,0,0,199.8
3,15,5,0,105.2
3,15,10,0,57.8
3,15,15,4.2,104.8
3,15,20,18.8,201.6
3,15,25,7.2,152.6
3,15,30,7,200
3,15,35,14.2,200.4
3,15,40,23.6,6.8
3,15,45,0,151.4
3,15,50,2,252.8
3,15,55,14.4,56
3,16,0,0,56.4
3,16,5,0,201.6
3,16,10,0,201.4
3,16,15,0,7.4
3,16,20,0,203
3,16,25,0,56.4
3,16,30,0,103.6
3,16,35,0,55.8
3,16,40,0,200.8
3,16,45,0,105.6
3,16,50,7.6,151.8
3,16,55,0.8,151
3,17,0,0,104.2
3,17,5,0,101.4
3,17,10,16.6,102.6
3,17,15,1.2,102.6
3,17,20,16.6,50.6
3,17,25,0,152.2
3,17,30,0,150.4
3,17,35,0,53
3,17,40,0,151.2
3,17,45,0,54.4
3,17,50,0,57.8
3,17,55,0,103.8
3,18,0,0,200
3,18,5,0,151.8
3,18,10,0,104.8
3,18,15,0,149.4
3,18,20,22.8,104.6
3,18,25,0,54.4
3,18,30,9.2,153.4
3,18,35,38.8,55.4
3,18,40,26,102.8
3,18,45,26,152.2
3,18,50,30,146
3,18,55,22,5.4
3,19,0,23,1.4
3,19,5,23.6,0
3,19,10,27.8,0
3,19,15,1,0
3,19,20,10,0
3,19,25,31.2,0
3,19,30,12,0
3,19,35,31.6,0
3,19,40,21,0
3,19,45,16.4,0
3,19,50,39,0
3,19,55,20.4,0
3,20,0,19.4,0
3,20,5,24.4,0
3,20,10,34.4,0
3,20,15,35.6,0
3,20,20,36.6,0
3,20,25,30.4,0
3,20,30,32.8,0
3,20,35,40.8,0
3,20,40,48.6,0
3,20,45,48.4,0
3,20,50,51.2,0
3,20,55,43.6,0
3,21,0,38.4,0
3,21,5,32,0
3,21,10,36.2,0
3,21,15,52.4,0
3,21,20,24,0
3,21,25,69.4,0
3,21,30,51,0
3,21,35,33.4,0
3,21,40,47,0
3,21,45,46.8,0
3,21,50,37.4,0
3,21,55,42,0
3,22,0,30.4,0
3,22,5,36.6,0
3,22,10,47.4,0
3,22,15,38.4,0
3,22,20,50.6,0
3,22,25,54.4,0
3,22,30,41.8,0
3,22,35,26,0
3,22,40,48,0
3,22,45,65.6,0
3,22,50,58.8,0
